#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2M	PSEN1	9606.ENSP00000323929	9606.ENSP00000326366	0	0	0	0	0	0	0	0.553	0.553
A2M	APOC1	9606.ENSP00000323929	9606.ENSP00000465356	0	0	0	0	0.266	0	0	0.507	0.622
A2M	APOC2	9606.ENSP00000323929	9606.ENSP00000466775	0	0	0	0	0.178	0	0	0.561	0.623
A2M	SELENOP	9606.ENSP00000323929	9606.ENSP00000425915	0	0	0	0	0.314	0	0	0.509	0.648
A2M	TF	9606.ENSP00000323929	9606.ENSP00000385834	0	0	0	0	0.165	0	0	0.794	0.820
ABCA1	SPTLC2	9606.ENSP00000363868	9606.ENSP00000216484	0	0	0	0	0.042	0.053	0	0.582	0.587
ABCA1	LIPE	9606.ENSP00000363868	9606.ENSP00000244289	0	0	0	0	0	0	0	0.473	0.473
ABCA1	CD68	9606.ENSP00000363868	9606.ENSP00000250092	0	0	0	0	0.072	0	0	0.516	0.531
ABCA1	PXDN	9606.ENSP00000363868	9606.ENSP00000252804	0	0	0	0	0.042	0	0	0.425	0.426
ABCA1	OLR1	9606.ENSP00000363868	9606.ENSP00000309124	0	0	0	0	0.086	0.045	0	0.650	0.668
ABCA1	CYP7B1	9606.ENSP00000363868	9606.ENSP00000310721	0	0	0	0	0.053	0.066	0	0.465	0.486
ABCA1	C1QB	9606.ENSP00000363868	9606.ENSP00000313967	0	0	0	0	0.056	0.060	0	0.410	0.430
ABCA1	LIPA	9606.ENSP00000363868	9606.ENSP00000337354	0	0	0	0	0.063	0.041	0	0.730	0.736
ABCA1	CAV1	9606.ENSP00000363868	9606.ENSP00000339191	0	0	0	0	0	0	0	0.692	0.692
ABCA1	SREBF1	9606.ENSP00000363868	9606.ENSP00000348069	0	0	0	0	0	0.060	0	0.903	0.905
ABCA1	SCD	9606.ENSP00000363868	9606.ENSP00000359380	0	0	0	0	0.065	0	0	0.546	0.558
ABCA1	TREM2	9606.ENSP00000363868	9606.ENSP00000362205	0	0	0	0	0.070	0	0	0.394	0.412
ABCA1	C1QA	9606.ENSP00000363868	9606.ENSP00000363773	0	0	0	0	0.084	0.060	0	0.415	0.452
ABCA1	MEGF10	9606.ENSP00000363868	9606.ENSP00000423354	0	0	0	0	0.042	0	0	0.447	0.447
ABCA1	APOC1	9606.ENSP00000363868	9606.ENSP00000465356	0	0	0	0	0.071	0	0	0.529	0.544
ABCA1	APOC2	9606.ENSP00000363868	9606.ENSP00000466775	0	0	0	0	0.058	0	0	0.578	0.585
ABCA1	NPC2	9606.ENSP00000363868	9606.ENSP00000451206	0	0	0	0	0.106	0	0	0.560	0.589
ABCA2	BCHE	9606.ENSP00000344155	9606.ENSP00000264381	0	0	0	0	0.048	0.045	0	0.411	0.418
ABCA2	GAB2	9606.ENSP00000344155	9606.ENSP00000354952	0	0	0	0	0.074	0	0	0.440	0.459
ABCC4	SLC7A5	9606.ENSP00000494609	9606.ENSP00000261622	0	0	0	0	0.067	0.071	0	0.470	0.501
ABCC4	SLCO2B1	9606.ENSP00000494609	9606.ENSP00000289575	0	0	0	0	0	0	0	0.713	0.713
ACCS	H6PD	9606.ENSP00000263776	9606.ENSP00000473348	0.097	0	0	0	0.047	0.067	0	0.342	0.401
ACER3	SPTLC2	9606.ENSP00000434480	9606.ENSP00000216484	0	0	0	0	0.131	0	0	0.600	0.638
ACER3	CERS2	9606.ENSP00000434480	9606.ENSP00000271688	0	0	0	0	0	0.129	0.900	0.593	0.961
ACER3	PLPP2	9606.ENSP00000434480	9606.ENSP00000329697	0	0	0	0	0	0	0.900	0.413	0.938
ACSS2	SIRT2	9606.ENSP00000253382	9606.ENSP00000249396	0	0	0	0	0.048	0	0	0.437	0.442
ACSS2	ALDH16A1	9606.ENSP00000253382	9606.ENSP00000293350	0.041	0	0	0	0.207	0.060	0.185	0.141	0.408
ACSS2	LSS	9606.ENSP00000253382	9606.ENSP00000380837	0	0	0	0	0.231	0	0	0.294	0.434
ACSS2	TALDO1	9606.ENSP00000253382	9606.ENSP00000321259	0	0	0	0	0.122	0.068	0	0.417	0.481
ACSS2	HSD17B4	9606.ENSP00000253382	9606.ENSP00000411960	0.052	0	0	0	0.215	0	0.217	0.221	0.486
ACSS2	H6PD	9606.ENSP00000253382	9606.ENSP00000473348	0.055	0	0	0	0.049	0	0	0.502	0.513
ACSS2	TFEB	9606.ENSP00000253382	9606.ENSP00000351742	0	0	0	0	0.042	0	0	0.573	0.573
ACSS2	SCD	9606.ENSP00000253382	9606.ENSP00000359380	0.042	0	0	0	0.145	0	0	0.538	0.588
ACSS2	SREBF1	9606.ENSP00000253382	9606.ENSP00000348069	0	0	0	0	0.062	0	0	0.586	0.595
ADA2	ENTPD1	9606.ENSP00000382731	9606.ENSP00000360250	0	0	0	0	0.097	0	0	0.490	0.520
ADAMTSL2	LTBP1	9606.ENSP00000346478	9606.ENSP00000386043	0	0	0	0	0	0.046	0	0.956	0.956
ADAP2	EVI2A	9606.ENSP00000464121	9606.ENSP00000247270	0	0	0	0	0.060	0	0	0.764	0.769
ADAP2	KIF13A	9606.ENSP00000464121	9606.ENSP00000259711	0	0	0	0	0	0.441	0	0	0.441
ADAP2	TYROBP	9606.ENSP00000464121	9606.ENSP00000262629	0	0	0	0	0.384	0	0	0.067	0.400
ADAP2	CSF1R	9606.ENSP00000464121	9606.ENSP00000286301	0	0	0	0	0.528	0	0	0.081	0.547
ADAP2	KIF13B	9606.ENSP00000464121	9606.ENSP00000427900	0	0	0	0	0.056	0.441	0	0.186	0.532
ADAP2	FYB1	9606.ENSP00000464121	9606.ENSP00000493623	0	0	0	0	0.144	0	0	0.369	0.437
ADCY8	GRIN2D	9606.ENSP00000286355	9606.ENSP00000263269	0	0	0	0	0.057	0	0	0.398	0.408
ADCY8	CAV1	9606.ENSP00000286355	9606.ENSP00000339191	0	0	0	0	0	0.046	0	0.463	0.465
ADCY8	ENTPD1	9606.ENSP00000286355	9606.ENSP00000360250	0	0	0	0	0.055	0	0.650	0.087	0.671
ADCY8	PDE6B	9606.ENSP00000286355	9606.ENSP00000420295	0	0	0	0	0.055	0.126	0.670	0.091	0.719
ADCY8	PDE9A	9606.ENSP00000286355	9606.ENSP00000291539	0	0	0	0	0.061	0.126	0.670	0.132	0.734
ADCY8	PDE1C	9606.ENSP00000286355	9606.ENSP00000379496	0	0	0	0	0.084	0	0.650	0.429	0.801
ADCY8	ENTPD2	9606.ENSP00000286355	9606.ENSP00000347213	0	0	0	0	0.069	0	0.900	0.115	0.910
ADORA3	TREM2	9606.ENSP00000241356	9606.ENSP00000362205	0	0	0	0	0.271	0	0	0.221	0.408
ADORA3	GPSM3	9606.ENSP00000241356	9606.ENSP00000364183	0	0	0	0	0.063	0	0.400	0	0.413
ADORA3	LPAR5	9606.ENSP00000241356	9606.ENSP00000393098	0	0	0	0	0.081	0	0	0.437	0.460
ADORA3	P2RY12	9606.ENSP00000241356	9606.ENSP00000307259	0	0	0	0	0.111	0	0	0.447	0.487
ADORA3	C3AR1	9606.ENSP00000241356	9606.ENSP00000302079	0	0	0	0	0.142	0	0	0.474	0.529
ADORA3	ENTPD1	9606.ENSP00000241356	9606.ENSP00000360250	0	0	0	0	0.109	0	0	0.585	0.614
ADORA3	P2RY13	9606.ENSP00000241356	9606.ENSP00000320376	0	0	0	0	0.113	0	0	0.602	0.631
ADORA3	LTBP1	9606.ENSP00000241356	9606.ENSP00000386043	0	0	0	0	0	0.049	0	0.651	0.653
ADORA3	GPR34	9606.ENSP00000241356	9606.ENSP00000367384	0	0	0	0	0.461	0	0	0.422	0.675
AFMID	FAAH	9606.ENSP00000328938	9606.ENSP00000243167	0	0	0	0	0	0.054	0	0.461	0.469
AFMID	SLC7A5	9606.ENSP00000328938	9606.ENSP00000261622	0	0	0	0	0.060	0	0	0.394	0.406
AFMID	UAP1L1	9606.ENSP00000328938	9606.ENSP00000386935	0	0	0	0	0	0.790	0	0.053	0.792
AGPAT4	LPCAT2	9606.ENSP00000314036	9606.ENSP00000262134	0	0	0	0	0.042	0	0	0.537	0.537
AGPAT4	DGKD	9606.ENSP00000314036	9606.ENSP00000264057	0	0	0	0	0.062	0	0.650	0.171	0.704
AGPAT4	GPD1	9606.ENSP00000314036	9606.ENSP00000301149	0.057	0	0	0	0.055	0	0.844	0.136	0.864
AGPAT4	SCD	9606.ENSP00000314036	9606.ENSP00000359380	0.046	0	0	0	0	0	0.253	0.232	0.405
AGPAT4	SCD5	9606.ENSP00000314036	9606.ENSP00000316329	0.046	0	0	0	0.044	0	0.253	0.233	0.408
AGPAT4	PLD4	9606.ENSP00000314036	9606.ENSP00000438677	0	0	0	0	0	0	0.650	0	0.650
AGPAT4	PLD1	9606.ENSP00000314036	9606.ENSP00000342793	0.052	0	0	0	0.068	0	0.650	0.116	0.690
AGPAT4	PLPP2	9606.ENSP00000314036	9606.ENSP00000329697	0.044	0	0	0	0	0.051	0.701	0.300	0.785
AIF1	CD74	9606.ENSP00000365227	9606.ENSP00000009530	0	0	0	0	0.293	0.067	0	0.433	0.594
AIF1	CD4	9606.ENSP00000365227	9606.ENSP00000011653	0	0	0	0	0.242	0.045	0	0.531	0.631
AIF1	LCP2	9606.ENSP00000365227	9606.ENSP00000046794	0	0	0	0	0.431	0.116	0	0.093	0.504
AIF1	GRN	9606.ENSP00000365227	9606.ENSP00000053867	0	0	0	0	0.111	0	0	0.372	0.418
AIF1	TGFB1	9606.ENSP00000365227	9606.ENSP00000221930	0	0	0	0	0.119	0	0	0.439	0.485
AIF1	SPI1	9606.ENSP00000365227	9606.ENSP00000227163	0	0	0	0	0.437	0	0	0.413	0.655
AIF1	CTSC	9606.ENSP00000365227	9606.ENSP00000227266	0	0	0	0	0.182	0.070	0	0.474	0.565
AIF1	C3	9606.ENSP00000365227	9606.ENSP00000245907	0	0	0	0	0.068	0	0	0.400	0.416
AIF1	CD68	9606.ENSP00000365227	9606.ENSP00000250092	0	0	0	0	0.167	0.045	0	0.851	0.871
AIF1	SALL1	9606.ENSP00000365227	9606.ENSP00000251020	0	0	0	0	0	0	0	0.418	0.418
AIF1	PXDN	9606.ENSP00000365227	9606.ENSP00000252804	0	0	0	0	0	0	0	0.738	0.738
AIF1	GFAP	9606.ENSP00000365227	9606.ENSP00000253408	0	0	0	0	0	0	0	0.913	0.913
AIF1	PDGFRA	9606.ENSP00000365227	9606.ENSP00000257290	0	0	0	0	0.052	0	0	0.483	0.490
AIF1	CYBA	9606.ENSP00000365227	9606.ENSP00000261623	0	0	0	0	0.184	0	0	0.300	0.404
AIF1	TYROBP	9606.ENSP00000365227	9606.ENSP00000262629	0	0	0	0	0.833	0	0	0.675	0.943
AIF1	IRF8	9606.ENSP00000365227	9606.ENSP00000268638	0	0	0	0	0.261	0.089	0	0.371	0.539
AIF1	CSF1R	9606.ENSP00000365227	9606.ENSP00000286301	0	0	0	0	0.384	0	0	0.778	0.857
AIF1	FCER1G	9606.ENSP00000365227	9606.ENSP00000289902	0	0	0	0	0.723	0	0	0.245	0.782
AIF1	LAPTM5	9606.ENSP00000365227	9606.ENSP00000294507	0	0	0	0	0.433	0	0	0.200	0.527
AIF1	C3AR1	9606.ENSP00000365227	9606.ENSP00000302079	0	0	0	0	0.342	0	0	0.366	0.565
AIF1	P2RY12	9606.ENSP00000365227	9606.ENSP00000307259	0	0	0	0	0.140	0	0	0.718	0.747
AIF1	CASP3	9606.ENSP00000365227	9606.ENSP00000311032	0	0	0	0	0.044	0.046	0	0.696	0.698
AIF1	C1QB	9606.ENSP00000365227	9606.ENSP00000313967	0	0	0	0	0.230	0.075	0	0.371	0.513
AIF1	BACE1	9606.ENSP00000365227	9606.ENSP00000318585	0	0	0	0	0.086	0.046	0	0.552	0.575
AIF1	HCLS1	9606.ENSP00000365227	9606.ENSP00000320176	0	0	0	0	0.355	0.116	0	0.063	0.419
AIF1	P2RY13	9606.ENSP00000365227	9606.ENSP00000320376	0	0	0	0	0.332	0	0	0.358	0.553
AIF1	PSEN1	9606.ENSP00000365227	9606.ENSP00000326366	0	0	0	0	0	0	0	0.578	0.578
AIF1	OLIG2	9606.ENSP00000365227	9606.ENSP00000331040	0	0	0	0	0.042	0	0	0.771	0.771
AIF1	LAMP1	9606.ENSP00000365227	9606.ENSP00000333298	0	0	0	0	0.086	0.045	0	0.489	0.515
AIF1	NLRP3	9606.ENSP00000365227	9606.ENSP00000337383	0	0	0	0	0.134	0.104	0	0.480	0.561
AIF1	CX3CR1	9606.ENSP00000365227	9606.ENSP00000351059	0	0	0	0	0.177	0	0	0.772	0.804
AIF1	FCGR3A	9606.ENSP00000365227	9606.ENSP00000356946	0	0	0	0	0.367	0	0	0.571	0.717
AIF1	RGS10	9606.ENSP00000365227	9606.ENSP00000358099	0	0	0	0	0.087	0.046	0	0.433	0.463
AIF1	FCGR1A	9606.ENSP00000365227	9606.ENSP00000358165	0	0	0	0	0.351	0	0	0.370	0.574
AIF1	CSF3R	9606.ENSP00000365227	9606.ENSP00000362195	0	0	0	0	0.314	0.091	0	0.154	0.426
AIF1	TREM2	9606.ENSP00000365227	9606.ENSP00000362205	0	0	0	0	0.152	0	0	0.720	0.752
AIF1	C1QC	9606.ENSP00000365227	9606.ENSP00000363770	0	0	0	0	0.406	0	0	0.561	0.728
AIF1	C1QA	9606.ENSP00000365227	9606.ENSP00000363773	0	0	0	0	0.490	0.075	0	0.701	0.847
AIF1	FYB1	9606.ENSP00000365227	9606.ENSP00000493623	0	0	0	0	0.363	0	0	0.108	0.407
AIF1	HLA-DMB	9606.ENSP00000365227	9606.ENSP00000398890	0	0	0	0	0.303	0.125	0	0.125	0.420
AIF1	PLP1	9606.ENSP00000365227	9606.ENSP00000481006	0	0	0	0	0.043	0	0	0.447	0.448
AIF1	OLIG1	9606.ENSP00000365227	9606.ENSP00000371785	0	0	0	0	0.080	0	0	0.432	0.455
AIF1	LCP1	9606.ENSP00000365227	9606.ENSP00000381581	0	0	0	0	0.299	0.071	0	0.244	0.465
AIF1	HLA-DRA	9606.ENSP00000365227	9606.ENSP00000378786	0	0	0	0	0.353	0	0	0.268	0.506
AIF1	CD53	9606.ENSP00000365227	9606.ENSP00000497382	0	0	0	0	0.438	0	0	0.171	0.514
AIF1	GPR34	9606.ENSP00000365227	9606.ENSP00000367384	0	0	0	0	0.169	0	0	0.449	0.523
AIF1	MYO1F	9606.ENSP00000365227	9606.ENSP00000494550	0	0	0	0	0.347	0.266	0	0.113	0.538
AIF1	CCL3	9606.ENSP00000365227	9606.ENSP00000477908	0	0	0	0	0.133	0	0	0.507	0.554
AIF1	MOG	9606.ENSP00000365227	9606.ENSP00000366091	0	0	0	0	0	0	0	0.604	0.604
AIF1	ITGAX	9606.ENSP00000365227	9606.ENSP00000454623	0	0	0	0	0.216	0	0	0.524	0.611
AIF1	CNP	9606.ENSP00000365227	9606.ENSP00000377470	0	0	0	0	0	0.078	0	0.664	0.677
AIF1	ITGB2	9606.ENSP00000365227	9606.ENSP00000380948	0	0	0	0	0.581	0	0	0.358	0.720
AIF1	CYBB	9606.ENSP00000365227	9606.ENSP00000367851	0	0	0	0	0.422	0.153	0	0.519	0.744
AIF1	TMEM119	9606.ENSP00000365227	9606.ENSP00000376553	0	0	0	0	0.052	0	0	0.787	0.789
AIF1	PTPRC	9606.ENSP00000365227	9606.ENSP00000411355	0	0	0	0	0.353	0.045	0	0.721	0.813
AIF1	LST1	9606.ENSP00000365227	9606.ENSP00000365261	0	0	0	0	0.787	0	0	0.184	0.818
AIF1	ITGAM	9606.ENSP00000365227	9606.ENSP00000496959	0	0	0	0	0.256	0	0	0.798	0.843
ALAD	SPTLC2	9606.ENSP00000386284	9606.ENSP00000216484	0.071	0	0	0	0.050	0	0.414	0.256	0.564
ALAD	RETSAT	9606.ENSP00000386284	9606.ENSP00000295802	0	0	0	0	0.118	0	0	0.349	0.401
ALAD	SHMT1	9606.ENSP00000386284	9606.ENSP00000318868	0.120	0	0	0	0.117	0	0	0.458	0.542
ALAD	H6PD	9606.ENSP00000386284	9606.ENSP00000473348	0.160	0	0	0	0.049	0	0	0.327	0.415
ALDH16A1	HSD17B4	9606.ENSP00000293350	9606.ENSP00000411960	0	0	0	0	0.244	0.162	0.201	0.115	0.492
AMOTL2	ARHGAP24	9606.ENSP00000424765	9606.ENSP00000378611	0	0	0	0	0	0.045	0	0.444	0.446
AMZ1	CYFIP1	9606.ENSP00000308149	9606.ENSP00000481038	0	0	0	0	0	0.603	0	0	0.603
ANGPTL2	VASH1	9606.ENSP00000362524	9606.ENSP00000167106	0	0	0	0	0.067	0	0	0.386	0.403
ANGPTL2	MYLK	9606.ENSP00000362524	9606.ENSP00000353452	0	0	0	0	0.095	0.125	0	0.403	0.486
ANKRD44	RFTN2	9606.ENSP00000282272	9606.ENSP00000295049	0	0	0	0	0	0	0	0.479	0.479
ANKRD44	ZNRF2	9606.ENSP00000282272	9606.ENSP00000323879	0	0	0	0	0.042	0.366	0	0.250	0.505
ANLN	MCM5	9606.ENSP00000265748	9606.ENSP00000216122	0	0	0	0	0.374	0	0	0.514	0.682
ANLN	PLEKHG3	9606.ENSP00000265748	9606.ENSP00000247226	0	0	0	0	0	0.438	0	0.098	0.471
ANLN	TPRN	9606.ENSP00000265748	9606.ENSP00000387100	0	0	0	0	0	0.386	0	0.065	0.401
ANLN	PPP1R18	9606.ENSP00000265748	9606.ENSP00000480270	0	0	0	0	0.056	0.292	0	0.176	0.401
ANLN	GSN	9606.ENSP00000265748	9606.ENSP00000362924	0	0	0	0	0	0.292	0	0.202	0.410
ANLN	FMNL3	9606.ENSP00000265748	9606.ENSP00000335655	0	0	0	0	0	0	0.400	0.069	0.417
ANLN	FLNC	9606.ENSP00000265748	9606.ENSP00000327145	0	0	0	0	0.067	0.292	0	0.206	0.430
ANLN	CORO1B	9606.ENSP00000265748	9606.ENSP00000340211	0	0	0	0	0	0.381	0	0.125	0.435
ANLN	FSCN1	9606.ENSP00000265748	9606.ENSP00000371798	0	0	0	0	0.086	0.189	0	0.310	0.443
ANLN	ARHGAP24	9606.ENSP00000265748	9606.ENSP00000378611	0	0	0	0	0	0	0	0.444	0.444
ANLN	HCLS1	9606.ENSP00000265748	9606.ENSP00000320176	0	0	0	0	0.087	0	0	0.418	0.447
ANLN	POLA1	9606.ENSP00000265748	9606.ENSP00000368358	0	0	0	0	0.355	0	0	0.213	0.471
ANLN	MYO9B	9606.ENSP00000265748	9606.ENSP00000471457	0	0	0	0	0.075	0	0.400	0.136	0.479
ANLN	CORO1C	9606.ENSP00000265748	9606.ENSP00000394496	0	0	0	0	0.068	0.388	0	0.198	0.502
ANLN	NUMA1	9606.ENSP00000265748	9606.ENSP00000377298	0	0	0	0	0.142	0.292	0	0.263	0.513
ANLN	LIMA1	9606.ENSP00000265748	9606.ENSP00000378400	0	0	0	0	0.054	0.421	0	0.220	0.535
ANLN	RTKN	9606.ENSP00000265748	9606.ENSP00000272430	0	0	0	0	0.062	0	0.400	0.246	0.538
ANLN	PSRC1	9606.ENSP00000265748	9606.ENSP00000358925	0	0	0	0	0.326	0	0	0.350	0.543
ANLN	ARHGAP1	9606.ENSP00000265748	9606.ENSP00000310491	0	0	0	0	0.042	0	0.400	0.322	0.576
ANLN	TJP2	9606.ENSP00000265748	9606.ENSP00000438262	0	0	0	0	0.042	0.292	0.400	0.099	0.584
ANLN	NCAPD2	9606.ENSP00000265748	9606.ENSP00000325017	0	0	0	0	0.431	0	0	0.318	0.596
ANLN	CAV1	9606.ENSP00000265748	9606.ENSP00000339191	0	0	0	0	0.085	0.292	0.400	0.138	0.620
ANLN	CENPF	9606.ENSP00000265748	9606.ENSP00000355922	0	0	0	0	0.578	0.292	0	0.515	0.842
ANOS1	CD44	9606.ENSP00000262648	9606.ENSP00000398632	0	0	0	0	0	0	0	0.417	0.416
ANOS1	SOX10	9606.ENSP00000262648	9606.ENSP00000380093	0	0	0	0	0	0	0	0.498	0.498
ANOS1	FGFR2	9606.ENSP00000262648	9606.ENSP00000410294	0	0	0	0	0.049	0.438	0	0.182	0.525
ANOS1	CHD7	9606.ENSP00000262648	9606.ENSP00000392028	0	0	0	0	0	0	0	0.835	0.835
AOPEP	SUN2	9606.ENSP00000364464	9606.ENSP00000385616	0	0	0	0	0	0.488	0	0.084	0.510
APBB1IP	CD4	9606.ENSP00000365411	9606.ENSP00000011653	0	0	0	0	0.138	0	0.360	0.168	0.501
APBB1IP	LCP2	9606.ENSP00000365411	9606.ENSP00000046794	0	0	0	0	0.384	0.107	0	0.501	0.701
APBB1IP	SPI1	9606.ENSP00000365411	9606.ENSP00000227163	0	0	0	0	0.385	0.292	0	0.068	0.559
APBB1IP	SELPLG	9606.ENSP00000365411	9606.ENSP00000228463	0	0	0	0	0.254	0.109	0	0.230	0.444
APBB1IP	CYTH4	9606.ENSP00000365411	9606.ENSP00000248901	0	0	0	0	0.378	0	0	0.187	0.473
APBB1IP	NCKAP1L	9606.ENSP00000365411	9606.ENSP00000293373	0	0	0	0	0.294	0	0	0.422	0.574
APBB1IP	LAPTM5	9606.ENSP00000365411	9606.ENSP00000294507	0	0	0	0	0.492	0	0	0.083	0.514
APBB1IP	HCLS1	9606.ENSP00000365411	9606.ENSP00000320176	0	0	0	0	0.376	0.107	0	0.122	0.469
APBB1IP	PLEKHH1	9606.ENSP00000365411	9606.ENSP00000330278	0	0	0	0	0	0.627	0	0	0.627
APBB1IP	CREB5	9606.ENSP00000365411	9606.ENSP00000350359	0	0	0	0	0.062	0	0	0.399	0.412
APBB1IP	RALGDS	9606.ENSP00000365411	9606.ENSP00000361120	0	0	0	0	0.067	0	0	0.528	0.540
APBB1IP	SYK	9606.ENSP00000365411	9606.ENSP00000364898	0	0	0	0	0.166	0.092	0.500	0.255	0.680
APBB1IP	WIPF1	9606.ENSP00000365411	9606.ENSP00000376330	0	0	0	0	0.297	0	0	0.191	0.407
APBB1IP	DOCK8	9606.ENSP00000365411	9606.ENSP00000394888	0	0	0	0	0.302	0	0	0.188	0.409
APBB1IP	CD53	9606.ENSP00000365411	9606.ENSP00000497382	0	0	0	0	0.423	0	0	0.044	0.425
APBB1IP	ARAP1	9606.ENSP00000365411	9606.ENSP00000377233	0	0	0	0	0.099	0	0	0.410	0.445
APBB1IP	PARVG	9606.ENSP00000365411	9606.ENSP00000391583	0	0	0	0	0.367	0	0	0.223	0.487
APBB1IP	PTPN6	9606.ENSP00000365411	9606.ENSP00000391592	0	0	0	0	0.128	0.180	0.360	0.110	0.538
APBB1IP	PTPRC	9606.ENSP00000365411	9606.ENSP00000411355	0	0	0	0	0.436	0.180	0	0.211	0.603
APBB1IP	DOCK2	9606.ENSP00000365411	9606.ENSP00000429283	0	0	0	0	0.446	0	0	0.336	0.617
APBB1IP	ITGB2	9606.ENSP00000365411	9606.ENSP00000380948	0	0	0	0	0.408	0	0	0.585	0.743
APBB1IP	FYB1	9606.ENSP00000365411	9606.ENSP00000493623	0	0	0	0	0.328	0	0	0.895	0.926
APCDD1	NKD1	9606.ENSP00000347433	9606.ENSP00000268459	0	0	0	0	0.138	0	0	0.568	0.612
APLN	CD4	9606.ENSP00000391800	9606.ENSP00000011653	0	0	0	0	0	0	0	0.483	0.483
APLN	C3	9606.ENSP00000391800	9606.ENSP00000245907	0	0	0	0	0	0	0.500	0.161	0.562
APLN	C3AR1	9606.ENSP00000391800	9606.ENSP00000302079	0	0	0	0	0	0	0.500	0.063	0.511
APLN	GPR37	9606.ENSP00000391800	9606.ENSP00000306449	0	0	0	0	0	0.073	0.500	0.072	0.532
APLN	PDGFB	9606.ENSP00000391800	9606.ENSP00000330382	0	0	0	0	0.115	0	0	0.445	0.488
APLN	GPSM3	9606.ENSP00000391800	9606.ENSP00000364183	0	0	0	0	0.044	0	0.400	0	0.401
APLN	NPY	9606.ENSP00000391800	9606.ENSP00000384364	0	0	0	0	0	0	0.500	0.563	0.772
APLN	PDYN	9606.ENSP00000391800	9606.ENSP00000440185	0	0	0	0	0	0	0.500	0.514	0.746
APLN	APLNR	9606.ENSP00000391800	9606.ENSP00000475344	0	0	0	0	0.111	0	0.900	0.999	0.999
APLNR	C3	9606.ENSP00000475344	9606.ENSP00000245907	0	0	0	0	0.074	0	0.500	0	0.517
APLNR	C3AR1	9606.ENSP00000475344	9606.ENSP00000302079	0	0	0	0.631	0.054	0	0.500	0.096	0.535
APLNR	GPR37	9606.ENSP00000475344	9606.ENSP00000306449	0	0	0	0	0.099	0	0.500	0.313	0.663
APLNR	P2RY12	9606.ENSP00000475344	9606.ENSP00000307259	0	0	0	0.697	0.086	0	0	0.386	0.414
APLNR	GPSM3	9606.ENSP00000475344	9606.ENSP00000364183	0	0	0	0	0.044	0	0.400	0	0.401
APLNR	NPY	9606.ENSP00000475344	9606.ENSP00000384364	0	0	0	0	0.082	0	0.500	0.202	0.601
APLNR	PDYN	9606.ENSP00000475344	9606.ENSP00000440185	0	0	0	0	0.083	0	0.500	0.255	0.628
APOC1	C3	9606.ENSP00000465356	9606.ENSP00000245907	0	0	0	0	0.191	0	0	0.325	0.431
APOC1	C1QB	9606.ENSP00000465356	9606.ENSP00000313967	0	0	0	0	0.224	0	0	0.279	0.416
APOC1	BIN1	9606.ENSP00000465356	9606.ENSP00000316779	0	0	0	0	0.042	0	0.540	0.336	0.681
APOC1	PSRC1	9606.ENSP00000465356	9606.ENSP00000358925	0	0	0	0	0.044	0	0	0.432	0.433
APOC1	TREM2	9606.ENSP00000465356	9606.ENSP00000362205	0	0	0	0	0.243	0	0	0.399	0.525
APOC1	APOC2	9606.ENSP00000465356	9606.ENSP00000466775	0	0	0	0	0.280	0	0.900	0.999	0.999
